pass,obj,delay,logistic
53,-0.6857142857142859,-29.571428571428573,18.571428571428573
54,0.6952380952380937,-27.333333333333332,19.38095238095238
55,-0.04761904761905032,-30.904761904761905,20.523809523809526
56,2.0666666666666655,-30.904761904761905,24.047619047619047
57,1.6285714285714268,-27.285714285714285,20.904761904761905
58,-0.1523809523809532,-30.238095238095237,19.904761904761905
59,3.8666666666666663,-32.476190476190474,28.095238095238095
60,-0.16190476190476352,-20.61904761904762,13.476190476190476
61,-1.9047619047619047,-24.761904761904763,13.333333333333334
62,0.628571428571428,-24.428571428571427,17.333333333333332
63,0.009523809523806276,-31.476190476190474,21.0
64,1.771428571428571,-31.857142857142858,24.19047619047619
65,2.9428571428571435,-29.285714285714285,24.428571428571427
66,2.7904761904761903,-24.095238095238095,20.714285714285715
67,-0.371428571428572,-31.857142857142858,20.61904761904762
68,-2.600000000000001,-30.428571428571427,15.952380952380953
69,-0.2952380952380961,-28.80952380952381,18.714285714285715
70,-1.2666666666666664,-31.095238095238095,18.61904761904762
71,0.18095238095238014,-28.476190476190474,19.285714285714285
72,-0.8571428571428571,-31.428571428571427,19.523809523809526
73,0.695238095238095,-29.333333333333332,20.714285714285715
74,-1.1619047619047622,-26.904761904761905,16.0
75,2.771428571428571,-31.428571428571427,25.571428571428573
76,-0.9714285714285718,-22.857142857142858,13.619047619047619
77,2.723809523809522,-25.61904761904762,21.61904761904762
78,1.0476190476190463,-28.238095238095237,20.571428571428573
79,0.22857142857142912,-30.714285714285715,20.857142857142858
80,-1.2857142857142871,-25.142857142857142,14.619047619047619
81,-0.2952380952380961,-24.095238095238095,15.571428571428571
82,2.5714285714285716,-32.714285714285715,26.095238095238095
83,3.0857142857142863,-32.857142857142854,27.047619047619047
84,3.028571428571427,-29.0,24.38095238095238
85,-1.3238095238095244,-27.666666666666668,16.238095238095237
86,-0.6380952380952397,-22.095238095238095,13.666666666666666
87,-1.3333333333333346,-29.476190476190474,17.428571428571427
88,2.1047619047619044,-31.095238095238095,24.238095238095237
89,-0.7142857142857143,-28.571428571428573,17.857142857142858
90,0.8380952380952364,-27.476190476190474,19.714285714285715
91,-1.3534147347811431E-15,-27.714285714285715,18.476190476190474
92,-0.19047619047619183,-29.19047619047619,19.142857142857142
93,-0.2571428571428574,-25.285714285714285,16.428571428571427
94,0.914285714285711,-32.42857142857143,23.142857142857142
95,0.7428571428571412,-30.714285714285715,21.714285714285715
96,-1.6285714285714294,-28.857142857142858,16.523809523809526
97,-0.7523809523809543,-30.38095238095238,19.0
98,4.190476190476191,-32.95238095238095,28.952380952380953
99,-0.742857142857144,-30.285714285714285,18.952380952380953
100,-3.2000000000000006,-24.142857142857142,10.761904761904763
101,1.1142857142857132,-27.142857142857142,19.952380952380953
102,2.2952380952380946,-26.19047619047619,21.285714285714285
103,1.8380952380952364,-28.19047619047619,21.857142857142858
104,-0.3999999999999989,-31.571428571428573,20.38095238095238
105,0.4285714285714259,-29.714285714285715,20.523809523809526
106,-0.8761904761904779,-30.333333333333332,18.761904761904763
107,3.3428571428571425,-30.714285714285715,26.047619047619047
108,-0.1333333333333339,-30.047619047619047,19.80952380952381
109,-1.0857142857142863,-30.285714285714285,18.38095238095238
110,0.6761904761904757,-27.666666666666668,19.571428571428573
111,0.14285714285714285,-25.714285714285715,17.38095238095238
112,-0.37142857142857333,-29.0,18.714285714285715
113,0.647619047619046,-30.80952380952381,21.61904761904762
114,-0.1428571428571442,-28.428571428571427,18.714285714285715
115,0.4285714285714272,-26.714285714285715,18.523809523809526
116,0.4571428571428555,-28.285714285714285,19.61904761904762
117,-1.2476190476190485,-26.904761904761905,15.857142857142858
