pass,obj,delay,logistic
341,-131.0,-651.0,389
342,-131.0,-651.0,389
343,-131.0,-651.0,389
344,-114.0,-651.0,423
345,-114.0,-651.0,423
346,-114.0,-651.0,423
347,-114.0,-651.0,423
348,-114.0,-651.0,423
349,-114.0,-651.0,423
350,-114.0,-651.0,423
351,-114.0,-651.0,423
352,-114.0,-651.0,423
353,-114.0,-651.0,423
354,-114.0,-651.0,423
355,-114.0,-651.0,423
356,-114.0,-651.0,423
357,-114.0,-651.0,423
358,-114.0,-651.0,423
359,-123.0,-653.0,407
360,-123.0,-653.0,407
361,-123.0,-653.0,407
362,-123.0,-653.0,407
363,-123.0,-653.0,407
364,-123.0,-653.0,407
365,-123.0,-653.0,407
366,-138.0,-656.0,380
367,-138.0,-656.0,380
368,-138.0,-656.0,380
369,-138.0,-656.0,380
370,-126.5,-646.0,393
371,-126.5,-646.0,393
372,-126.5,-646.0,393
373,-126.5,-646.0,393
374,-126.5,-646.0,393
375,-126.5,-646.0,393
376,-126.5,-646.0,393
377,-126.5,-646.0,393
378,-140.0,-647.0,367
379,-140.0,-647.0,367
380,-140.0,-647.0,367
381,-140.0,-647.0,367
382,-140.0,-647.0,367
383,-140.0,-647.0,367
384,-140.0,-647.0,367
385,-140.0,-647.0,367
386,-140.0,-647.0,367
387,-140.0,-647.0,367
388,-140.0,-647.0,367
389,-140.0,-647.0,367
390,-140.0,-647.0,367
391,-140.0,-647.0,367
392,-140.0,-647.0,367
393,-140.0,-647.0,367
394,-140.0,-647.0,367
395,-140.0,-647.0,367
396,-140.0,-647.0,367
397,-140.0,-647.0,367
398,-126.5,-545.0,292
399,-126.5,-545.0,292
400,-126.5,-545.0,292
401,-126.5,-545.0,292
402,-126.5,-545.0,292
403,-126.5,-545.0,292
404,-126.5,-545.0,292
405,-126.5,-545.0,292
406,-126.5,-545.0,292
407,-126.5,-545.0,292
408,-126.5,-545.0,292
409,-126.5,-545.0,292
410,-126.5,-545.0,292
411,-126.5,-545.0,292
412,-126.5,-545.0,292
413,-126.5,-545.0,292
414,-126.5,-545.0,292
415,-126.5,-545.0,292
416,-126.5,-545.0,292
417,-126.5,-545.0,292
418,-126.5,-545.0,292
419,-126.5,-545.0,292
420,-126.5,-545.0,292
421,-126.5,-545.0,292
422,-126.5,-545.0,292
423,-126.5,-545.0,292
424,-126.5,-545.0,292
425,-120.5,-602.0,361
426,-120.5,-602.0,361
427,-120.5,-602.0,361
428,-120.5,-602.0,361
429,-127.5,-667.0,412
430,-127.5,-667.0,412
431,-127.5,-667.0,412
432,-127.5,-667.0,412
433,-127.5,-667.0,412
434,-127.5,-667.0,412
435,-121.0,-669.0,427
436,-121.0,-669.0,427
437,-106.0,-687.0,475
438,-106.0,-687.0,475
439,-106.0,-687.0,475
440,-96.0,-690.0,498
441,-96.0,-690.0,498
442,-96.0,-690.0,498
443,-96.0,-690.0,498
444,-96.0,-690.0,498
445,-96.0,-690.0,498
446,-96.0,-690.0,498
447,-78.5,-693.0,536
448,-78.5,-693.0,536
449,-78.5,-693.0,536
450,-78.5,-693.0,536
451,-78.5,-693.0,536
452,-78.5,-693.0,536
453,-78.5,-693.0,536
454,-78.5,-693.0,536
455,-78.5,-693.0,536
456,-78.5,-693.0,536
457,-78.5,-693.0,536
458,-162.0,-693.0,369
459,-162.0,-693.0,369
460,-162.0,-693.0,369
461,-141.5,-672.0,389
462,-141.5,-672.0,389
463,-141.5,-672.0,389
464,-141.5,-672.0,389
465,-141.5,-672.0,389
466,-141.5,-672.0,389
467,-113.5,-736.0,509
468,-113.5,-736.0,509
469,-113.5,-736.0,509
470,-113.5,-736.0,509
471,-113.5,-736.0,509
472,-113.5,-736.0,509
473,-113.5,-736.0,509
474,-113.5,-736.0,509
475,-113.5,-736.0,509
476,-113.5,-736.0,509
477,-113.5,-736.0,509
478,-113.5,-736.0,509
479,-113.5,-736.0,509
480,-113.5,-736.0,509
481,-113.5,-736.0,509
482,-130.0,-690.0,430
483,-78.5,-693.0,536
484,-78.5,-693.0,536
485,-78.5,-693.0,536
486,-78.5,-693.0,536
487,-78.5,-693.0,536
488,-78.5,-693.0,536
489,-78.5,-693.0,536
490,-78.5,-693.0,536
491,-78.5,-693.0,536
492,-78.5,-693.0,536
493,-78.5,-693.0,536
494,-78.5,-693.0,536
495,-78.5,-693.0,536
496,-78.5,-693.0,536
497,-78.5,-693.0,536
498,-78.5,-693.0,536
499,-78.5,-693.0,536
